"Name","Country","Weight","Height","Age","Team","Fight_Result","Fight_Method"
"Pettaweesak Sangmorakot","
Thailand ","125.66 LBS / 57 KG","5'8"" FT / 175 CM","18 Y","Sangmorakot","LOSS","Unanimous Decision 
R3 (3:00)"
"Pettong Kiatsongrit","
Thailand ",NA,"5'7"" FT / 172 CM","20 Y","Kiatsongrit Muay Thai Gym","LOSS","Knockout 
R2 (2:36)"
"Pettong Kiatsongrit","
Thailand ",NA,"5'7"" FT / 172 CM","20 Y","Kiatsongrit Muay Thai Gym","LOSS","Knockout 
R1 (1:57)"
"Pettong Kiatsongrit","
Thailand ",NA,"5'7"" FT / 172 CM","20 Y","Kiatsongrit Muay Thai Gym","LOSS","Unanimous Decision 
R3 (3:00)"
"Pettonglor Sitluangpeenumfon","
Thailand ",NA,"5'8"" FT / 174 CM","23 Y","An Sukhumvit","LOSS","Unanimous Decision 
R3 (3:00)"
"Pettonglor Sitluangpeenumfon","
Thailand ",NA,"5'8"" FT / 174 CM","23 Y","An Sukhumvit","WIN","Split Decision 
R3 (3:00)"
"Pettonglor Sitluangpeenumfon","
Thailand ",NA,"5'8"" FT / 174 CM","23 Y","An Sukhumvit","WIN","Unanimous Decision 
R3 (3:00)"
"Pettonglor Sitluangpeenumfon","
Thailand ",NA,"5'8"" FT / 174 CM","23 Y","An Sukhumvit","WIN","Unanimous Decision 
R3 (3:00)"
"Peyman Zolfaghari","
Iran ","119.05 LBS / 54 KG","5'9"" FT / 176 CM","27 Y","Team Mehdi Zatout","LOSS","Knockout 
R1 (1:57)"
"Peyman Zolfaghari","
Iran ","119.05 LBS / 54 KG","5'9"" FT / 176 CM","27 Y","Team Mehdi Zatout","WIN","Unanimous Decision 
R3 (3:00)"
"Peyman Zolfaghari","
Iran ","119.05 LBS / 54 KG","5'9"" FT / 176 CM","27 Y","Team Mehdi Zatout","LOSS","Knockout 
R1 (1:44)"
"Phetchumpair Highland Gym","
Thailand ",NA,"5'4"" FT / 165 CM","29 Y","Highland Gym","LOSS","Unanimous Decision 
R3 (3:00)"
"Phetchumpair Highland Gym","
Thailand ",NA,"5'4"" FT / 165 CM","29 Y","Highland Gym","WIN","Knockout 
R1 (1:30)"
"Pichai Lookbanmai","
Thailand ",NA,"5'3"" FT / 161 CM","18 Y","Lookbanmai","LOSS","TKO 
R1 (1:18)"
"Pichitchai PK Saenchai","
Thailand ","120.59 LBS / 54.7 KG","5'2"" FT / 160 CM","29 Y","PK Saenchai Muaythaigym","WIN","Split Decision 
R3 (3:00)"
"Pichitchai PK Saenchai","
Thailand ","120.59 LBS / 54.7 KG","5'2"" FT / 160 CM","29 Y","PK Saenchai Muaythaigym","LOSS","Unanimous Decision 
R3 (3:00)"
"Pichitchai PK Saenchai","
Thailand ","120.59 LBS / 54.7 KG","5'2"" FT / 160 CM","29 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3 (3:00)"
"Ploykhao Or AudUdon","
Thailand ",NA,"5'1"" FT / 157 CM","22 Y","Sitjaykarn","WIN","Unanimous Decision 
R3 (3:00)"
"Ploykhao Or AudUdon","
Thailand ",NA,"5'1"" FT / 157 CM","22 Y","Sitjaykarn","LOSS","TKO 
R3 (0:45)"
"Ploymuangjan Smile Muaythai","
Thailand ",NA,"5'6"" FT / 168 CM","33 Y","Smile Muaythai Gym","LOSS","TKO 
R1 (1:58)"
"Ploypanlan PK Saenchai","
Thailand ",NA,"5'8"" FT / 173 CM","22 Y","PK Saenchai Muaythaigym","LOSS","Knockout 
R1 (0:57)"
"Ploywitthaya Chor Wimolsin","
Thailand ",NA,"5'9"" FT / 176 CM","29 Y",NA,"LOSS","Unanimous Decision 
R3 (3:00)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","LOSS","Knockout 
R1 (2:50)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3 (3:00)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","WIN","TKO 
R3 (1:56)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","LOSS","Unanimous Decision 
R3 (3:00)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3 (3:00)"
"Pompet PK Saenchai","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","PK Saenchai Muaythaigym","WIN","Knockout 
R1 (1:15)"
"Pongsiri PK Saenchai","
Thailand ","145.06 LBS / 65.8 KG","5'6"" FT / 169 CM","33 Y","PK Saenchai Muaythaigym","LOSS","Knockout 
R2 (0:29)"
"Pongsiri PK Saenchai","
Thailand ","145.06 LBS / 65.8 KG","5'6"" FT / 169 CM","33 Y","PK Saenchai Muaythaigym","LOSS","Unanimous Decision 
R3 (3:00)"
"Pongsiri PK Saenchai","
Thailand ","145.06 LBS / 65.8 KG","5'6"" FT / 169 CM","33 Y","PK Saenchai Muaythaigym","LOSS","Unanimous Decision 
R3 (3:00)"
"Pongsiri PK Saenchai","
Thailand ","145.06 LBS / 65.8 KG","5'6"" FT / 169 CM","33 Y","PK Saenchai Muaythaigym","WIN","Majority Decision 
R3 (3:00)"
